,Itr,ReturnAvg,ReturnMax,ReturnMin,ReturnStd,TrainingLossFinal,TrainingLossStart
0,-1,-165.7392343679923,-86.20325745605277,-210.1661641300178,32.058488941843095,,
1,0,18.751562068020476,54.94590017490748,-27.73658643749617,22.684747854901044,96.97610473632812,5241.0234375
2,1,104.34241652019139,145.67921110482382,77.18945528636762,19.42997550490942,52.76179885864258,160.578857421875
3,2,190.65396434604602,267.6672065146042,138.09479706810498,41.11332810286335,18.34455108642578,144.4046630859375
4,3,219.46598218711387,283.1454761589377,158.4766804827065,36.84949735560298,3.9536705017089844,74.73908233642578
5,4,238.81204805508133,298.2085984526448,162.43100033371678,40.87860665909978,36.81861114501953,80.0445556640625
6,5,254.28662179200205,322.74039535604993,213.6678746004278,32.01561946860366,34.59413146972656,67.85643005371094
7,6,260.0114951243719,297.9425922318334,213.5019412562039,26.506709861296283,21.361892700195312,49.96392059326172
8,7,305.80458516190566,346.52670741607653,259.43649670900516,29.286985978317908,5.6023406982421875,33.833160400390625
9,8,303.85067533670866,338.48437726104476,242.48741784664594,27.51695912955009,31.126304626464844,34.51048278808594
10,9,316.5957356590526,350.0067723415149,245.6527258486991,36.53954674067479,24.220623016357422,28.057016372680664
11,10,323.44310186015724,374.2388482108616,225.81541532850525,38.1850973431555,12.486062049865723,36.445533752441406
